City,Population,Users,,
ATLANTA GA,"814,885","24,701",ATLANTA,GA
AUSTIN TX,"698,371","14,978",AUSTIN,TX
BOSTON MA,"248,968","80,021",BOSTON,MA
CHICAGO IL,"1,955,130","164,468",CHICAGO,IL
DALLAS TX,"942,908","22,157",DALLAS,TX
DENVER CO,"754,233","12,421",DENVER,CO
LOS ANGELES CA,"1,595,037","144,132",LOS,CA
MIAMI FL,"1,339,155","17,675",MIAMI,FL
NASHVILLE TN,"327,225","9,270",NASHVILLE,TN
NEW YORK NY,"8,405,837","302,149",NEW,NY
ORANGE COUNTY,"1,030,185","12,994",ORANGE,CA
PHOENIX AZ,"943,999","6,133",PHOENIX,AZ
PITTSBURGH PA,"542,085","3,643",PITTSBURGH,PA
SACRAMENTO CA,"545,776","7,044",SACRAMENTO,CA
SAN DIEGO CA,"959,307","69,995",SAN,CA
SAN FRANCISCO CA,"629,591","213,609",SAN,CA
SEATTLE WA,"671,238","25,063",SEATTLE,WA
SILICON VALLEY,"1,177,609","27,247",SILICON,VALLEY
TUCSON AZ,"631,442","5,712",TUCSON,AZ
WASHINGTON DC,"418,859","127,001",WASHINGTON,DC
